Index,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Dev,Dormi,Descanso,Dormi,Descanso,Descanso,Descanso
00:30:00,Dev,Dormi,Descanso,Dormi,Dormi,Descanso,Dormi
01:00:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
01:30:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
02:00:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
02:30:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:00:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:30:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dev,Dormi
07:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dev,Dormi
07:30:00,Dormi,Dormi,Dormi,Descanso,Dormi,Dev,Dormi
08:00:00,Dormi,Trabalho,Trabalho,Outros,Trabalho,Trabalho,Dormi
08:30:00,Dormi,Trabalho,Trabalho,Descanso,Trabalho,Trabalho,Dormi
09:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
09:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
10:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:00:00,Faculdade,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:30:00,Descanso,Trabalho,Trabalho,Descanso,Trabalho,Trabalho,Trabalho
13:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Trabalho,Trabalho
13:30:00,TCC,Descanso,Descanso,Descanso,Descanso,Trabalho,Trabalho
14:00:00,TCC,Trabalho,Descanso,Trabalho,Trabalho,Trabalho,Trabalho
14:30:00,TCC,Trabalho,Descanso,Trabalho,Trabalho,Trabalho,Trabalho
15:00:00,TCC,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Trabalho
15:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Descanso
16:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
17:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
17:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
18:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Trabalho,Descanso
18:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
19:00:00,Faculdade,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
19:30:00,Faculdade,Descanso,Descanso,Descanso,Faculdade,Descanso,Descanso
20:00:00,Faculdade,TCC,Descanso,Dev,Dev,Descanso,Descanso
20:30:00,Descanso,TCC,Descanso,Descanso,Dev,Descanso,Descanso
21:00:00,Descanso,TCC,Descanso,Descanso,Descanso,Descanso,Descanso
21:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:30:00,Dormi,TCC,Descanso,Descanso,Descanso,Descanso,Descanso
