Title,Date
"O Silêncio do Pântano","10/05/2020"
"Supermães: Temporada 4: Farsa","09/05/2020"
"Coffee & Kareem","09/05/2020"
"Batman vs Superman: A Origem da Justiça","09/05/2020"
"Pocoyo: Temporada 2: 9. O presente do Pocoyo 10. Aula de balé da Elly 11. O balão do Pocoyo 12. Quem está me chamando?","09/05/2020"
"Pocoyo: Temporada 2: 5. De cabeça pra baixo 6. A máquina de mistura 7. Hóspede bagunceiro 8. Novo no planeta","09/05/2020"
"Branquinha","08/05/2020"
"Noite Sem Fim","08/05/2020"
"Kong: A Ilha da Caveira","08/05/2020"
"The Last Kingdom: Temporada 4: Episódio 10","07/05/2020"
"Você nem imagina","07/05/2020"
"The Last Kingdom: Temporada 4: Episódio 9","07/05/2020"
"The Last Kingdom: Temporada 4: Episódio 8","06/05/2020"
"Mãe e muito mais","06/05/2020"
"The Last Kingdom: Temporada 4: Episódio 7","05/05/2020"
"The Last Kingdom: Temporada 4: Episódio 6","05/05/2020"
"Atômica","04/05/2020"
"Os Smurfs e a Vila Perdida","04/05/2020"
"The Last Kingdom: Temporada 4: Episódio 5","03/05/2020"
"The Last Kingdom: Temporada 4: Episódio 4","03/05/2020"
"Yucatán","01/05/2020"
"The Last Kingdom: Temporada 4: Episódio 3","01/05/2020"
"Mentiras Perigosas","30/04/2020"
"The Last Kingdom: Temporada 4: Episódio 2","29/04/2020"
"Morte às Seis da Tarde","29/04/2020"
"Eu Nunca...: Temporada 1: ... disse que sentia muito","28/04/2020"
"Eu Nunca...: Temporada 1: ... me comportei tanto","28/04/2020"
"Eu Nunca...: Temporada 1: ... deixei todo mundo que eu conheço p* da vida","28/04/2020"
"Eu Nunca...: Temporada 1: ... fui uma tremenda mentirosa","28/04/2020"
"Eu Nunca...: Temporada 1: ... fui o garoto mais solitário do mundo","28/04/2020"
"Eu Nunca...: Temporada 1: ... comecei uma guerra nuclear","28/04/2020"
"Eu Nunca...: Temporada 1: ...me senti superindiana","27/04/2020"
"Eu Nunca...: Temporada 1: ...fiquei bêbada com a galera popular","27/04/2020"
"Eu Nunca...: Temporada 1: ...transei com Paxton Hall-Yoshida","27/04/2020"
"Eu Nunca...: Temporada 1: Piloto","27/04/2020"
"The Last Kingdom: Temporada 4: Episódio 1","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 6","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 5","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 4","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 3","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 2","26/04/2020"
"After Life - Vocês vão ter de me engolir: Temporada 2: Episódio 1","26/04/2020"
"Love 101: Temporada 1: Momento especial","25/04/2020"
"Love 101: Temporada 1: Mudança","25/04/2020"
"Love 101: Temporada 1: Diversão","25/04/2020"
"Love 101: Temporada 1: Afeto","25/04/2020"
"Love 101: Temporada 1: Saudade","25/04/2020"
"Love 101: Temporada 1: Luxúria","25/04/2020"
"Love 101: Temporada 1: Admiração","25/04/2020"
"Love 101: Temporada 1: Primeiro momento","25/04/2020"
"Resgate","25/04/2020"
"Il processo: Temporada 1: Episódio 8","24/04/2020"
"Il processo: Temporada 1: Episódio 7","23/04/2020"
"Il processo: Temporada 1: Episódio 6","23/04/2020"
"Il processo: Temporada 1: Episódio 5","23/04/2020"
"The Hard Way","22/04/2020"
"Il processo: Temporada 1: Episódio 4","22/04/2020"
"Il processo: Temporada 1: Episódio 3","22/04/2020"
"Clube dos Infiéis Honestos","21/04/2020"
"Il processo: Temporada 1: Episódio 2","21/04/2020"
"Velozes e Furiosos 7","21/04/2020"
"Golpe Duplo","21/04/2020"
"Milagre na Cela 7","21/04/2020"
"Il processo: Temporada 1: Episódio 1","20/04/2020"
"Altos Negócios","19/04/2020"
"Gostos e Cores","19/04/2020"
"Gente que Vai e Volta","19/04/2020"
"Os Meyerowitz: Família Não se Escolhe (Histórias Novas e Selecionadas)","19/04/2020"
"Um Plano Perfeito","18/04/2020"
"Lolo - O Filho da Minha Namorada","18/04/2020"
"O Chefe","17/04/2020"
"Efeito Pigmaleão","17/04/2020"
"Brincando com Fogo: Temporada 1: Amor, sexo ou dinheiro","17/04/2020"
"Ponto Cego: Temporada 4: Missão internacional","17/04/2020"
"Ponto Cego: Temporada 4: Mestres da guerra","17/04/2020"
"Ponto Cego: Temporada 4: Tem um assassino no prédio","16/04/2020"
"Ponto Cego: Temporada 4: Todos odeiam a Kathy","16/04/2020"
"Code 8 - Renegados","15/04/2020"
"Ponto Cego: Temporada 4: Abelhas nos inimigos","15/04/2020"
"Ponto Cego: Temporada 4: Contagem regressiva","15/04/2020"
"Ponto Cego: Temporada 4: Aquele em que Jane visita um velho amigo","15/04/2020"
"Ponto Cego: Temporada 4: Situação extraordinária","14/04/2020"
"Ponto Cego: Temporada 4: Explosão do passado","14/04/2020"
"Ponto Cego: Temporada 4: É loucura, mas faz sentido","14/04/2020"
"Ponto Cego: Temporada 4: O Livro dos Segredos","14/04/2020"
"Ponto Cego: Temporada 4: Autor favorito","14/04/2020"
"The Walking Dead: Temporada 8: Fúria","14/04/2020"
"Até que o Casamento nos Separe","13/04/2020"
"Ponto Cego: Temporada 4: A grande revelação","13/04/2020"
"Ponto Cego: Temporada 4: De volta","13/04/2020"
"Ponto Cego: Temporada 4: Grito, soco, bum","13/04/2020"
"O Estranho Noivo de Maya","12/04/2020"
"Ponto Cego: Temporada 4: O Sol, a Lua e a verdade","12/04/2020"
"Ponto Cego: Temporada 4: Forte candidato","12/04/2020"
"Ponto Cego: Temporada 4: Em perigo","12/04/2020"
"Ponto Cego: Temporada 4: Altamente contagiosa","12/04/2020"
"Que Mal Eu Fiz a Deus?","12/04/2020"
"Um Amor, Mil Casamentos","12/04/2020"
"Ponto Cego: Temporada 4: O caso Quantico","12/04/2020"
"Ponto Cego: Temporada 4: Projeto de arte","11/04/2020"
"Ponto Cego: Temporada 4: Volta do inimigo","11/04/2020"
"S.W.A.T. - Operação Escorpião","11/04/2020"
"Uma Casa de Pernas pro Ar","10/04/2020"
"Santo Time","10/04/2020"
"Crimes na Madrugada","09/04/2020"
"Close","09/04/2020"
"Um Senhor Estagiário","08/04/2020"
"O Declínio","07/04/2020"
"O Atirador: O Extermínio Final","07/04/2020"
"La casa de papel: Parte 4: Plano Paris","05/04/2020"
"La casa de papel: Parte 4: Derrube a barraca","05/04/2020"
"La casa de papel: Parte 4: Nocaute técnico","04/04/2020"
"La casa de papel: Parte 4: Cinco minutos antes","04/04/2020"
"La casa de papel: Parte 4: Suspiros da Espanha","04/04/2020"
"La casa de papel: Parte 4: Aula de anatomia","03/04/2020"
"La casa de papel: Parte 4: Casamento de Berlim","03/04/2020"
"La casa de papel: Parte 4: Fim de jogo","03/04/2020"
"Schubert in Love","02/04/2020"
"Anne with an E: Temporada 1: Sua determinação dita seu destino","02/04/2020"
"Em Busca de Zoe","01/04/2020"
"3 Turcos e um Bebê","01/04/2020"
"Entre Vinho e Vinagre","31/03/2020"
"A Última Coisa que Ele Queria","30/03/2020"
"Refém do Medo","30/03/2020"
"Pequenos Delitos","29/03/2020"
"A Mentira","29/03/2020"
"Eu, Deus e Bin Laden","29/03/2020"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 3","29/03/2020"
